Feature,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Target,Target.1,Target.2,Target.3,Target.4,Target.5,Target.6,Target.7
4.86E-06,-7.62E-06,-1.02E-06,8.84E-07,-3.52E-07,4.01E-07,-3.44E-06,6.47E-06,0.162487708,0.105984241,43.96184221,-3.89691857,0.04252008,-0.123723458,-6.459249826,-37.22581112
-3.00E-06,-1.60E-07,3.34E-06,-3.50E-06,3.42E-06,-3.56E-06,3.12E-06,6.58E-09,-0.198728547,0.027195802,1.647876837,20.55293233,0.02115969,0.201226727,20.20012553,-0.747319133
-4.86E-06,2.00E-06,-4.80E-07,1.27E-07,-8.50E-08,-1.91E-07,4.72E-06,-1.86E-06,-0.170541518,-0.135054654,-11.53034691,1.510152113,-0.147094741,0.154893844,-0.358965514,10.80239711
-2.98E-06,1.86E-07,-1.17E-06,8.32E-07,-1.38E-06,1.13E-06,2.81E-06,1.14E-07,-0.07492507,-0.131304087,-1.318817351,-6.516115729,-0.119666244,0.074349415,-4.846295415,-0.47446961
-2.27E-06,-6.43E-07,-1.50E-07,2.21E-09,-2.24E-07,4.25E-08,2.52E-06,4.62E-07,-0.080399371,-0.074674797,3.697867025,-0.387915645,-0.078401636,0.092573171,-0.117587427,-2.658140071
-2.92E-06,3.62E-08,1.88E-08,-2.03E-07,1.63E-07,-3.17E-07,2.89E-06,-1.79E-08,-0.112529005,-0.07763032,-0.155489145,1.832939383,-0.082713827,0.107869614,1.168329675,0.073021102
-3.05E-06,2.18E-07,-2.34E-07,-3.72E-08,-2.34E-07,1.48E-08,3.04E-06,-1.22E-07,-0.106558804,-0.094777125,-1.272548917,-0.049885211,-0.09494679,0.106318712,0.230377118,0.708290464
-2.89E-06,5.27E-09,-2.54E-07,8.59E-08,-2.96E-07,8.64E-08,2.94E-06,2.87E-08,-0.09950559,-0.092839271,-0.059761819,-0.507772694,-0.092590638,0.103071039,-0.512121178,-0.136076542
-2.84E-06,-3.55E-08,-1.67E-07,3.82E-08,-1.73E-07,2.13E-08,2.85E-06,2.11E-08,-0.101156297,-0.087055163,0.189283022,-0.139861836,-0.087129824,0.101933573,-0.234002382,-0.102287043
-2.87E-06,3.30E-08,-1.83E-07,-2.04E-08,-1.56E-07,-1.98E-08,2.89E-06,-1.05E-08,-0.10231101,-0.087143377,-0.19790862,0.112315071,-0.088892285,0.102477476,0.110957133,0.068038281
-2.89E-06,2.96E-08,-1.69E-07,1.21E-08,-1.90E-07,-2.52E-09,2.92E-06,1.42E-08,-0.102401444,-0.089255471,-0.182236352,0.011424501,-0.089149632,0.104328781,-0.082087757,-0.067630572
-2.87E-06,4.62E-09,-1.45E-07,4.55E-08,-1.72E-07,2.44E-08,2.88E-06,-6.97E-09,-0.102384335,-0.087943783,-0.043313376,-0.148961203,-0.086847378,0.103381077,-0.270238918,0.061373365
-2.85E-06,1.90E-08,-1.64E-07,1.38E-08,-1.58E-07,1.29E-08,2.85E-06,-1.80E-08,-0.101787856,-0.086664191,-0.123994061,-0.079731739,-0.087143753,0.101903282,-0.085215997,0.11806723
-2.86E-06,1.60E-08,-1.52E-07,1.04E-08,-1.63E-07,-1.98E-09,2.88E-06,7.99E-09,-0.101863396,-0.087216988,-0.103555037,0.005629869,-0.087369665,0.103231998,-0.071026334,-0.032383969
-2.86E-06,5.29E-09,-1.22E-07,3.75E-08,-1.48E-07,1.24E-08,2.86E-06,-3.57E-09,-0.102552635,-0.086732654,-0.044659111,-0.079698851,-0.085545672,0.10337836,-0.22492668,0.040069787
-2.84E-06,1.60E-08,-1.34E-07,2.31E-08,-1.37E-07,1.84E-08,2.83E-06,-2.41E-08,-0.102119421,-0.08566464,-0.107799746,-0.111724276,-0.085322436,0.101965882,-0.137101529,0.155415665
-2.83E-06,1.57E-08,-1.35E-07,1.15E-08,-1.41E-07,5.88E-09,2.85E-06,-5.92E-09,-0.101731693,-0.085714274,-0.103582414,-0.039668324,-0.085816975,0.10245246,-0.074051771,0.048084639
-2.84E-06,5.34E-09,-1.09E-07,3.08E-08,-1.30E-07,1.05E-08,2.84E-06,-4.09E-09,-0.102294061,-0.085459214,-0.044509107,-0.068394807,-0.084492108,0.102960705,-0.185988305,0.041636955
-2.82E-06,1.19E-08,-1.09E-07,2.66E-08,-1.16E-07,1.92E-08,2.81E-06,-2.37E-08,-0.102218367,-0.084476266,-0.084317502,-0.117082171,-0.083808628,0.10190233,-0.157597525,0.153796347
-2.81E-06,1.62E-08,-1.16E-07,1.19E-08,-1.17E-07,1.15E-08,2.82E-06,-1.57E-08,-0.101718176,-0.084233742,-0.107368208,-0.071732975,-0.084258122,0.101870435,-0.074219744,0.10440696
-2.82E-06,7.91E-09,-9.68E-08,2.34E-08,-1.11E-07,1.09E-08,2.82E-06,-7.32E-09,-0.10200581,-0.084115137,-0.059401679,-0.070093628,-0.083462741,0.102452777,-0.142206827,0.058652239
-2.81E-06,9.95E-09,-8.99E-08,2.63E-08,-9.68E-08,1.89E-08,2.80E-06,-2.14E-08,-0.102126808,-0.083280174,-0.072887975,-0.115755414,-0.082580048,0.101786181,-0.155925013,0.140517607
-2.80E-06,1.59E-08,-9.63E-08,1.28E-08,-9.45E-08,1.53E-08,2.79E-06,-2.08E-08,-0.101670508,-0.082819255,-0.106741755,-0.093626918,-0.08280094,0.101457976,-0.078481065,0.133973044
-2.79E-06,1.09E-08,-8.40E-08,1.71E-08,-9.14E-08,1.20E-08,2.79E-06,-1.07E-08,-0.101722813,-0.082728037,-0.077163595,-0.075504098,-0.082383898,0.101944447,-0.105172817,0.077088292
-2.79E-06,9.90E-09,-7.34E-08,2.34E-08,-7.90E-08,1.78E-08,2.78E-06,-1.86E-08,-0.101914693,-0.082074196,-0.072360286,-0.109575146,-0.081502911,0.101628412,-0.139967192,0.123710064
-2.78E-06,1.55E-08,-7.69E-08,1.38E-08,-7.38E-08,1.73E-08,2.77E-06,-2.22E-08,-0.101564979,-0.081492325,-0.104280913,-0.105291943,-0.081458296,0.101193217,-0.083780584,0.142612693
-2.77E-06,1.35E-08,-6.97E-08,1.30E-08,-7.19E-08,1.32E-08,2.77E-06,-1.35E-08,-0.101454719,-0.081352821,-0.091997588,-0.081750892,-0.081247769,0.101500922,-0.080708634,0.092169125
