Feature,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Target,Target.1,Target.2,Target.3,Target.4,Target.5,Target.6,Target.7
0.49501,0.50341,0.49474,0.50264,0.50198,0.48812,0.4984,0.513,0.51023,0.49809,0.49622,0.51185,0.50621,0.50288,0.49693,0.48708
0.54269,0.45291,0.48489,0.50853,0.49834,0.49096,0.46292,0.56012,0.55238,0.52335,0.54679,0.50704,0.51739,0.47326,0.48945,0.43992
0.46563,0.50235,0.52712,0.47934,0.53732,0.46282,0.53055,0.51305,0.45867,0.50458,0.49812,0.53726,0.51177,0.55107,0.52032,0.48613
0.44737,0.51665,0.49009,0.50348,0.5011,0.48676,0.54709,0.49945,0.46598,0.46591,0.48296,0.51372,0.46753,0.53997,0.49651,0.50076
0.46585,0.50464,0.48343,0.50819,0.48771,0.49616,0.52739,0.51383,0.49079,0.4668,0.4947,0.5038,0.47474,0.52069,0.49132,0.48648
0.47279,0.49914,0.49329,0.50265,0.49967,0.48842,0.52441,0.51637,0.48937,0.4803,0.50047,0.51138,0.48559,0.52505,0.49679,0.48371
0.46641,0.50365,0.49493,0.50128,0.50366,0.48587,0.52825,0.51287,0.48103,0.47959,0.49604,0.51412,0.48446,0.52871,0.49828,0.48717
0.46508,0.50485,0.49248,0.50239,0.49956,0.48823,0.52977,0.51212,0.48258,0.47551,0.49476,0.51179,0.48124,0.52834,0.4972,0.48797
0.4667,0.50344,0.49228,0.50321,0.49892,0.48873,0.52871,0.51321,0.48441,0.47597,0.49615,0.51123,0.48186,0.52756,0.49634,0.4869
0.46721,0.50317,0.49312,0.50289,0.50019,0.48827,0.5278,0.51316,0.48398,0.47735,0.49644,0.51168,0.4833,0.52729,0.49666,0.48695
0.46692,0.50362,0.49297,0.5025,0.50037,0.48798,0.52815,0.51293,0.48368,0.47733,0.49599,0.51199,0.48284,0.52742,0.49706,0.48716
0.46666,0.5036,0.4931,0.50272,0.50001,0.4881,0.52849,0.51311,0.48366,0.47682,0.49601,0.51187,0.48277,0.52786,0.49684,0.48699
0.46686,0.50344,0.49333,0.50294,0.50021,0.48829,0.52806,0.51295,0.48367,0.47713,0.49617,0.51167,0.48337,0.52764,0.49662,0.48715
0.4671,0.50353,0.49315,0.50273,0.50035,0.48821,0.52784,0.51287,0.48382,0.47744,0.49608,0.51176,0.48329,0.52728,0.49683,0.48723
0.46702,0.50351,0.49327,0.50271,0.50029,0.48811,0.52807,0.51306,0.4838,0.47731,0.4961,0.51186,0.48324,0.5276,0.49685,0.48704
