Feature,Feature,Feature,Target,Target,Target
1,2.25,45,114.7225715,8.34,228352.0127
0.362158577,3.290556226,53.91905336,12.12208355,0.046,3659.446044
0.837841423,3.290556226,53.91905336,24.59518322,0.345,19301.7406
0.837841423,3.290556226,36.08094664,68.63870349,1.553,82381.24336
0.6,4,45,17.20999159,0.157,7451.241382
0.6,2.25,60,26.67760324,0.437,26061.11523
0.837841423,1.209443774,36.08094664,43.94826568,9.31,95516.85778
0.6,2.25,45,44.15518638,1.279,47311.26636
0.362158577,3.290556226,36.08094664,21.51189373,0.258,8803.512612
0.2,2.25,45,21.65066733,0.222,10242.4992
0.6,2.25,30,119.8114891,7.732,184519.7232
0.6,2.25,45,46.80143004,1.409,52225.36601
0.837841423,1.209443774,53.91905336,43.26906387,4.193,68728.56135
0.6,2.25,45,43.78528358,1.168,49339.47991
0.362158577,1.209443774,53.91905336,58.14284626,4.951,145796.55
