Feature,Feature,Feature,Target,Target,Target
1,0.37288,0.5,0.95274,0.89529,1
0.2027,0.74577,0.7973,0,0,0
0.7973,0.74577,0.7973,0.11582,0.032275,0.069616
0.7973,0.74577,0.2027,0.52481,0.16267,0.35035
0.5,1,0.5,0.047246,0.011982,0.016875
0.5,0.37288,1,0.13516,0.042206,0.099699
0.7973,0,0.2027,0.29554,1,0.40881
0.5,0.37288,0.5,0.29746,0.1331,0.19427
0.2027,0.74577,0.2027,0.087193,0.022884,0.022894
0,0.37288,0.5,0.088482,0.018998,0.029298
0.5,0.37288,0,1,0.82966,0.80492
0.5,0.37288,0.5,0.32203,0.14713,0.21614
0.7973,0,0.7973,0.28923,0.44765,0.28959
0.5,0.37288,0.5,0.29402,0.12111,0.2033
0.2027,0,0.7973,0.42735,0.52947,0.63258
